[('killed', 'VBN')]
[('deaths', 'NNS')]
[('wounded', 'VBD')]
[('injured', 'JJ')]
[('blast', 'NN')]
[('tore', 'NN')]
[('exploded', 'VBD')]
[('death', 'NN')]
[('explosion', 'NN')]
[('injuries', 'NNS')]
[('carting', 'VBG')]
[('pursue', 'NN')]
[('settled', 'VBN')]
[('prosecuted', 'VBN')]
[('pay', 'NN')]
[('payment', 'NN')]
[('settlement', 'NN')]
[('payments', 'NNS')]
[('suits', 'NNS')]
[('litigation', 'NN')]
[('convicted', 'VBN')]
[('sentenced', 'VBN')]
[('cost', 'NN')]
[('quit', 'NN')]
[('sale', 'NN')]
[('replace', 'VB')]
[('ending', 'VBG')]
[('removal', 'NN')]
[('arrested', 'VBN')]
[('clashed', 'NNS')]
[('rally', 'NN')]
[('marches', 'NNS')]
[('protests', 'NNS')]
[('clashes', 'NNS')]
[('war', 'NN')]
[('bombing', 'NN')]
[('invasion', 'NN')]
[('marched', 'VBN')]
[('drove', 'NN')]
[('gathered', 'VBN')]
[('bring', 'NN')]
[('fall', 'NN')]
[('campaign', 'NN')]
[('picketed', 'VBN')]
[('protested', 'VBN')]
[('explosions', 'NNS')]
[('demonstrations', 'NNS')]
[('fighting', 'VBG')]
[('fought', 'NN')]
[('took', 'VBD')]
[('bomb', 'NN')]
[('dead', 'JJ')]
[('campaigns', 'NNS')]
[('execute', 'NN')]
[('appealed', 'VBD')]
[('appeals', 'NNS')]
[('appeal', 'NN')]
[('sentence', 'NN')]
[('sentences', 'NNS')]
[('execution', 'NN')]
[('murder', 'NN')]
[('firing', 'VBG')]
[('action', 'NN')]
[('protest', 'NN')]
[('others', 'NNS')]
[('summit', 'NN')]
[('pow-wow', 'NN')]
[('attend', 'NN')]
[('hacked', 'VBN')]
[('attacked', 'VBN')]
[('fleeing', 'VBG')]
[('telephone', 'NN')]
[('eliminate', 'NN')]
[('killings', 'NNS')]
[('conflict', 'NN')]
[('forum', 'NN')]
[('negotiations', 'NNS')]
[('meeting', 'NN')]
[('call', 'NN')]
[('meet', 'NN')]
[('elections', 'NNS')]
[('re-election', 'NN')]
[('funded', 'VBN')]
[('conviction', 'NN')]
[('charge', 'NN')]
[('release', 'NN')]
[('sacking', 'VBG')]
[('demonstrate', 'NN')]
[('charged', 'VBN')]
[('trials', 'NNS')]
[('divorce', 'NN')]
[('sued', 'VBN')]
[('marriage', 'NN')]
[('use', 'NN')]
[('brief', 'NN')]
[('sell', 'NN')]
[('arrived', 'VBN')]
[('travels', 'NNS')]
[('guilty', 'JJ')]
[('demonstration', 'NN')]
[('fine', 'NN')]
[('accused', 'VBN')]
[('suicide', 'NN')]
[('shot', 'NN')]
[('aquitted', 'VBN')]
[('executed', 'VBN')]
[('punishable', 'JJ')]
[('talks', 'NNS')]
[('discussions', 'NNS')]
[('dissolving', 'VBG')]
[('dissolved', 'VBN')]
[('by-elections', 'NNS')]
[('founded', 'VBN')]
[('create', 'NN')]
[('forging', 'VBG')]
[('launching', 'VBG')]
[('opening', 'NN')]
[('build', 'NN')]
[('acquire', 'VB')]
[('acquiring', 'VBG')]
[('flown', 'NN')]
[('buy', 'VB')]
[('dismantling', 'VBG')]
[('shed', 'VBN')]
[('launched', 'VBN')]
[('debut', 'NN')]
[('open', 'JJ')]
[('discussed', 'VBN')]
[('fly', 'NN')]
[('appointed', 'VBN')]
[('paid', 'NN')]
[('fines', 'NNS')]
[('sold', 'VBN')]
[('selling', 'VBG')]
[('charges', 'NNS')]
[('loan', 'NN')]
[('crumbled', 'VBN')]
[('elected', 'VBN')]
[('filled', 'VBN')]
[('violence', 'NN')]
[('met', 'NN')]
[('returned', 'VBN')]
[('visit', 'NN')]
[('told', 'NN')]
[('flew', 'NN')]
[('die', 'NN')]
[('birth', 'NN')]
[('moved', 'VBN')]
[('homicide', 'NN')]
[('died', 'VBD')]
[('held', 'NN')]
[('born', 'NN')]
[('married', 'JJ')]
[('marriages', 'NNS')]
[('wedding', 'NN')]
[('deployed', 'NN')]
[('intifada', 'NN')]
[('bloodshed', 'VBN')]
[('uprising', 'VBG')]
[('withdrawal', 'NN')]
[('attacks', 'NNS')]
[('abandoned', 'VBN')]
[('return', 'NN')]
[('movement', 'NN')]
[('admits', 'NNS')]
[('force', 'NN')]
[('trial', 'NN')]
[('tried', 'VBN')]
[('former', 'JJ')]
[('providing', 'VBG')]
[('become', 'NN')]
[('extradited', 'VBN')]
[('buyout', 'NN')]
[('named', 'VBN')]
[('deploy', 'NN')]
[('deployment', 'NN')]
[('purge', 'NN')]
[('strikes', 'NNS')]
[('airlifting', 'VBG')]
[('aid', 'NN')]
[('move', 'NN')]
[('resigned', 'VBD')]
[('resignation', 'NN')]
[('won', 'NN')]
[('jailed', 'VBN')]
[('brawl', 'NN')]
[('attack', 'NN')]
[('kill', 'NN')]
[('ousting', 'VBG')]
[('leave', 'VB')]
[('transporting', 'VBG')]
[('transits', 'NNS')]
[('evacuating', 'VBG')]
[('moving', 'VBG')]
[('pounded', 'VBN')]
[('targeted', 'VBN')]
[('battle', 'NN')]
[('bombed', 'NN')]
[('responded', 'VBD')]
[('bombardment', 'NN')]
[('hit', 'NN')]
[('secured', 'VBN')]
[('rumbled', 'VBN')]
[('secure', 'NN')]
[('reaching', 'VBG')]
[('cross', 'NN')]
[('sent', 'NN')]
[('send', 'NN')]
[('creating', 'VBG')]
[('crossed', 'VBN')]
[('dying', 'VBG')]
[('destroyed', 'NN')]
[('crumbling', 'VBG')]
[('assault', 'NN')]
[('letter', 'NN')]
[('seized', 'VBN')]
